Plot,Subplot,Species,Light_ISF,Core,Soil,Adult,AMF,EMF,NSC,Outcome
9,D,Quercus alba,0.073,2016,Acer saccharum,1323,14.06,29.02,19.67,1.0
4,B,Quercus alba,0.076,2017,Prunus serotina,J,19.02,36.02,21.75,0.0
9,D,Acer saccharum,0.073,2016,Quercus alba,1478,15.06,,12.37,1.0
4,B,Quercus alba,0.076,2017,Prunus serotina,689,19.02,36.02,21.75,0.0
4,B,Acer saccharum,0.076,2017,Quercus rubra,984,14.49,,10.83,1.0
4,D,Acer saccharum,0.073,2017,Acer saccharum,275,13.75,,11.53,1.0
9,B,Acer saccharum,0.074,2016,Acer saccharum,561,14.92,,11.54,1.0
4,D,Quercus rubra,0.073,2017,Prunus serotina,G,18.02,10.99,11.5,1.0
4,D,Quercus alba,0.073,2016,Sterile,1205,5.18,2.34,18.12,0.0
4,D,Quercus rubra,0.073,2017,Quercus rubra,921,16.23,42.06,11.57,0.0
4,D,Quercus alba,0.073,2017,Prunus serotina,G,18.85,38.42,20.26,0.0
9,D,Acer saccharum,0.073,2017,Quercus rubra,970,12.63,,11.22,1.0
4,D,Acer saccharum,0.073,2017,Quercus alba,1478,15.06,,12.37,1.0
5,A,Quercus alba,0.086,2017,Quercus alba,1478,26.42,37.3,21.65,1.0
5,A,Quercus rubra,0.086,2017,Acer saccharum,1757,23.14,51.73,14.69,0.0
5,C,Quercus alba,0.098,2016,Populus grandidentata,1201,20.63,25.93,22.55,0.0
5,C,Quercus alba,0.098,2017,Sterile,1478,11.42,13.61,21.64,0.0
5,C,Quercus rubra,0.098,2017,Acer rubrum,1386,19.7,21.83,14.38,1.0
5,A,Acer saccharum,0.086,2016,Acer rubrum,1384,17.06,,12.05,1.0
5,C,Quercus alba,0.098,2017,Prunus serotina,G,17.66,34.38,22.01,0.0
5,C,Quercus alba,0.098,2016,Sterile,1715,11.42,13.61,21.64,1.0
5,A,Acer saccharum,0.086,2016,Populus grandidentata,118,15.37,,12.05,1.0
5,A,Quercus rubra,0.086,2017,Prunus serotina,689,22.35,28.34,15.0,0.0
10,A,Acer saccharum,0.051,2016,Acer saccharum,1330,16.58,,9.81,1.0
5,C,Quercus rubra,0.098,2017,Acer saccharum,561,29.36,40.36,14.74,0.0
5,A,Quercus alba,0.086,2017,Quercus rubra,1454,24.89,38.65,20.84,1.0
5,A,Quercus alba,0.086,2017,Populus grandidentata,394,18.23,22.62,22.13,0.0
5,C,Quercus rubra,0.098,2016,Populus grandidentata,285,19.03,28.02,18.5,0.0
5,C,Quercus rubra,0.098,2016,Acer rubrum,1332,19.7,21.83,14.38,0.0
5,A,Acer saccharum,0.086,2017,Acer saccharum,561,18.1,,12.36,1.0
5,C,Quercus alba,0.098,2017,Acer rubrum,1468,12.77,22.8,23.94,0.0
5,A,Quercus rubra,0.086,2017,Sterile,921,6.48,10.73,15.13,0.0
5,C,Quercus rubra,0.098,2016,Acer saccharum,1323,29.36,40.36,14.74,0.0
5,C,Quercus alba,0.098,2017,Prunus serotina,1027,17.66,34.38,22.01,0.0
5,C,Quercus alba,0.098,2016,Quercus rubra,1688,14.5,37.47,18.26,0.0
5,A,Quercus alba,0.086,2016,Quercus alba,1320,26.42,37.3,21.65,1.0
10,A,Acer saccharum,0.051,2017,Acer rubrum,1386,15.87,,9.44,1.0
5,A,Acer saccharum,0.086,2017,Sterile,1330,9.09,,12.37,1.0
5,A,Quercus rubra,0.086,2016,Sterile,984,6.48,10.73,15.13,1.0
5,C,Acer saccharum,0.098,2016,Quercus alba,1320,14.56,,12.65,1.0
5,C,Acer saccharum,0.098,2017,Quercus rubra,1595,12.24,,12.11,1.0
5,C,Acer saccharum,0.098,2016,Sterile,275,8.44,,12.18,1.0
5,A,Acer saccharum,0.086,2017,Acer saccharum,961,18.1,,12.36,1.0
5,A,Acer saccharum,0.086,2017,Acer rubrum,1386,17.06,,12.05,1.0
5,E,Quercus rubra,0.077,2017,Quercus alba,1478,19.14,28.36,16.63,0.0
5,E,Quercus rubra,0.077,2017,Prunus serotina,I,18.48,29.0,13.05,0.0
5,E,Quercus rubra,0.077,2017,Acer rubrum,1468,21.22,28.13,13.94,0.0
5,C,Quercus alba,0.098,2017,Prunus serotina,I,17.66,34.38,22.01,0.0
5,A,Quercus rubra,0.086,2016,Sterile,1595,6.48,10.73,15.13,1.0
5,E,Prunus serotina,0.077,2016,Acer rubrum,1384,23.53,,6.72,1.0
5,C,Acer saccharum,0.098,2016,Quercus rubra,1454,12.24,,12.11,1.0
10,D,Prunus serotina,0.06,2017,Prunus serotina,689,34.02,,6.91,1.0
5,C,Quercus alba,0.098,2017,Populus grandidentata,891,20.63,25.93,22.55,0.0
10,E,Prunus serotina,0.072,2017,Quercus rubra,921,32.85,,11.64,1.0
5,B,Quercus rubra,0.091,2017,Acer saccharum,275,24.97,45.68,14.85,0.0
10,B,Prunus serotina,0.072,2017,Populus grandidentata,277,56.63,,6.99,1.0
5,B,Quercus rubra,0.091,2017,Quercus rubra,970,18.49,29.93,14.58,0.0
5,B,Acer saccharum,0.091,2016,Acer saccharum,1330,20.57,,12.4,1.0
5,B,Prunus serotina,0.091,2017,Acer rubrum,1326,17.5,,13.63,1.0
5,E,Prunus serotina,0.077,2016,Sterile,H,10.97,,9.31,1.0
5,E,Quercus rubra,0.077,2017,Prunus serotina,H,18.48,29.0,13.05,0.0
5,D,Quercus alba,0.103,2017,Populus grandidentata,277,20.82,31.32,22.79,0.0
5,B,Quercus alba,0.091,2017,Acer saccharum,1757,19.14,29.4,22.32,0.0
10,D,Acer saccharum,0.06,2017,Acer rubrum,50,17.77,,11.03,1.0
5,B,Acer saccharum,0.091,2016,Acer rubrum,50,16.64,,12.18,1.0
10,D,Prunus serotina,0.06,2016,Populus grandidentata,891,53.7,,6.36,1.0
5,B,Quercus rubra,0.091,2016,Quercus alba,1297,20.86,19.41,17.93,0.0
5,D,Acer saccharum,0.103,2016,Acer saccharum,1323,22.43,,12.1,1.0
5,D,Acer saccharum,0.103,2017,Populus grandidentata,277,14.82,,12.2,1.0
5,D,Acer saccharum,0.103,2017,Populus grandidentata,394,14.82,,12.2,1.0
5,D,Quercus alba,0.103,2017,Prunus serotina,J,16.66,30.65,23.35,0.0
5,B,Quercus alba,0.091,2017,Quercus alba,415,16.24,34.94,15.55,0.0
5,D,Quercus alba,0.103,2017,Acer rubrum,1386,13.9,21.05,24.28,0.0
5,D,Quercus alba,0.103,2017,Quercus rubra,984,10.58,42.14,17.68,0.0
5,D,Quercus alba,0.103,2017,Acer saccharum,561,23.71,30.45,22.85,0.0
5,D,Quercus rubra,0.103,2017,Sterile,1688,8.99,6.46,15.82,0.0
5,B,Quercus alba,0.091,2017,Prunus serotina,H,13.96,32.36,21.03,0.0
5,B,Quercus rubra,0.091,2016,Prunus serotina,G,25.68,27.69,14.86,1.0
5,B,Acer saccharum,0.091,2017,Populus grandidentata,285,14.58,,12.19,1.0
5,D,Acer saccharum,0.103,2016,Sterile,1757,7.54,,12.16,1.0
10,B,Acer saccharum,0.072,2017,Quercus rubra,1595,12.14,,11.2,1.0
5,B,Acer saccharum,0.091,2016,Quercus rubra,1688,13.47,,12.12,1.0
5,B,Acer saccharum,0.091,2017,Quercus alba,1478,14.84,,12.72,1.0
10,D,Acer saccharum,0.06,2016,Quercus alba,1478,16.9,,11.67,1.0
5,B,Acer saccharum,0.091,2017,Sterile,961,8.52,,12.14,1.0
5,B,Quercus alba,0.091,2017,Acer saccharum,1323,19.14,29.4,22.32,0.0
5,B,Prunus serotina,0.091,2017,Sterile,1027,9.54,,11.71,1.0
5,B,Quercus alba,0.091,2016,Quercus rubra,921,20.21,35.3,19.0,0.0
5,D,Quercus alba,0.103,2017,Quercus alba,1205,11.03,36.83,16.88,0.0
5,D,Quercus alba,0.103,2017,Quercus alba,1715,11.03,36.83,16.88,1.0
5,B,Acer saccharum,0.091,2016,Quercus alba,1205,14.84,,12.72,1.0
10,D,Acer saccharum,0.06,2017,Quercus alba,1205,16.9,,11.67,1.0
10,B,Acer saccharum,0.072,2016,Populus grandidentata,394,10.09,,11.44,1.0
5,D,Prunus serotina,0.103,2016,Acer rubrum,1332,19.14,,13.6,1.0
11,C,Quercus alba,0.055,2017,Acer rubrum,1386,23.87,36.31,21.51,1.0
5,D,Prunus serotina,0.103,2017,Acer rubrum,1386,19.14,,13.6,1.0
5,D,Quercus alba,0.103,2016,Acer rubrum,1326,13.9,21.05,24.28,0.0
5,D,Quercus rubra,0.103,2017,Sterile,1454,8.99,6.46,15.82,1.0
5,B,Quercus alba,0.091,2017,Populus grandidentata,118,20.79,24.77,22.0,0.0
11,A,Prunus serotina,0.068,2016,Quercus alba,1320,26.55,,11.63,1.0
11,C,Quercus rubra,0.055,2017,Quercus alba,1205,16.38,27.94,18.87,1.0
11,A,Prunus serotina,0.068,2016,Acer saccharum,1330,46.91,,7.18,1.0
5,D,Quercus alba,0.103,2016,Acer saccharum,275,23.71,30.45,22.85,1.0
11,C,Prunus serotina,0.055,2017,Quercus rubra,1454,28.15,,8.13,1.0
6,A,Quercus alba,0.065,2017,Quercus rubra,984,19.83,27.97,15.73,0.0
6,A,Acer saccharum,0.065,2016,Quercus rubra,984,12.51,,11.21,1.0
6,A,Quercus alba,0.065,2016,Prunus serotina,I,16.55,31.11,19.34,0.0
6,C,Quercus rubra,0.087,2017,Prunus serotina,I,22.29,27.83,14.95,0.0
6,C,Prunus serotina,0.087,2016,Acer rubrum,1384,16.18,,13.69,1.0
6,A,Quercus alba,0.065,2016,Acer saccharum,1330,20.85,26.83,15.84,0.0
11,C,Prunus serotina,0.055,2017,Prunus serotina,G,40.23,,6.35,1.0
11,A,Acer saccharum,0.068,2017,Quercus alba,1205,14.46,,12.47,1.0
11,C,Prunus serotina,0.055,2016,Quercus alba,415,24.37,,7.13,1.0
6,A,Quercus alba,0.065,2017,Quercus rubra,1688,19.83,27.97,15.73,0.0
6,A,Quercus alba,0.065,2017,Sterile,1297,10.48,3.0,18.18,1.0
6,C,Quercus alba,0.087,2017,Acer rubrum,1386,14.09,23.18,23.52,0.0
11,A,Acer saccharum,0.068,2016,Quercus alba,1478,14.46,,12.47,1.0
6,C,Quercus alba,0.087,2017,Acer saccharum,961,21.0,25.23,22.15,0.0
6,A,Quercus alba,0.065,2017,Populus grandidentata,118,22.92,38.95,17.69,0.0
6,A,Acer saccharum,0.065,2016,Quercus alba,1205,14.8,,12.43,1.0
6,C,Acer saccharum,0.087,2017,Sterile,1330,8.7,,12.39,1.0
6,C,Acer saccharum,0.087,2016,Quercus alba,415,13.4,,12.46,1.0
6,A,Acer saccharum,0.065,2017,Acer rubrum,1332,18.76,,10.95,1.0
6,A,Quercus rubra,0.065,2017,Quercus alba,1205,16.22,27.72,19.1,0.0
6,C,Quercus alba,0.087,2016,Quercus alba,415,20.78,31.43,21.0,0.0
6,C,Quercus alba,0.087,2017,Acer rubrum,1332,14.09,23.18,23.52,0.0
11,A,Quercus rubra,0.068,2016,Acer rubrum,1326,20.27,30.37,13.87,1.0
6,A,Quercus rubra,0.065,2016,Prunus serotina,J,24.36,14.72,11.34,0.0
6,A,Quercus rubra,0.065,2017,Acer saccharum,961,24.04,23.17,17.27,0.0
11,A,Acer saccharum,0.068,2016,Populus grandidentata,1201,11.53,,11.44,1.0
6,C,Quercus alba,0.087,2017,Quercus alba,1478,20.78,31.43,21.0,1.0
6,C,Quercus alba,0.087,2016,Acer rubrum,1468,14.09,23.18,23.52,0.0
6,C,Acer saccharum,0.087,2017,Quercus alba,1320,13.4,,12.46,1.0
6,C,Quercus alba,0.087,2017,Sterile,1320,5.29,4.78,20.18,0.0
6,A,Quercus rubra,0.065,2017,Sterile,984,11.42,8.58,11.55,0.0
6,A,Acer saccharum,0.065,2017,Acer saccharum,561,17.4,,12.07,1.0
6,A,Quercus alba,0.065,2016,Quercus rubra,970,19.83,27.97,15.73,0.0
11,A,Quercus rubra,0.068,2017,Acer rubrum,1384,20.27,30.37,13.87,1.0
6,C,Quercus rubra,0.087,2016,Quercus alba,1715,19.95,20.02,17.91,0.0
6,A,Quercus rubra,0.065,2017,Quercus alba,1297,16.22,27.72,19.1,0.0
6,A,Quercus rubra,0.065,2017,Populus grandidentata,118,17.98,29.4,18.25,0.0
11,A,Quercus rubra,0.068,2017,Prunus serotina,G,21.9,14.26,11.25,1.0
6,C,Quercus rubra,0.087,2016,Quercus alba,1320,19.95,20.02,17.91,0.0
6,C,Acer saccharum,0.087,2016,Prunus serotina,I,20.69,,12.3,1.0
11,E,Prunus serotina,0.068,2017,Quercus alba,1205,26.55,,11.63,1.0
6,A,Acer saccharum,0.065,2016,Populus grandidentata,118,12.82,,11.34,1.0
11,C,Prunus serotina,0.055,2016,Quercus rubra,1688,28.15,,8.13,1.0
11,E,Acer saccharum,0.068,2017,Acer saccharum,1757,16.32,,11.46,1.0
11,E,Acer saccharum,0.068,2017,Quercus alba,1715,14.46,,12.47,1.0
6,A,Quercus rubra,0.065,2017,Acer rubrum,1332,24.96,24.01,11.48,0.0
6,E,Quercus alba,0.091,2016,Populus grandidentata,1201,20.79,24.77,22.0,0.0
6,E,Quercus rubra,0.091,2017,Acer saccharum,275,24.97,45.68,14.85,1.0
6,C,Acer saccharum,0.087,2016,Quercus rubra,1454,14.91,,12.3,1.0
6,C,Acer saccharum,0.087,2016,Acer rubrum,1326,17.08,,12.17,1.0
6,E,Acer saccharum,0.091,2016,Sterile,275,8.52,,12.14,1.0
6,C,Quercus alba,0.087,2017,Sterile,1205,5.29,4.78,20.18,0.0
6,C,Quercus alba,0.087,2017,Acer rubrum,50,14.09,23.18,23.52,0.0
6,C,Quercus alba,0.087,2016,Sterile,1478,5.29,4.78,20.18,1.0
11,B,Prunus serotina,0.055,2017,Acer rubrum,1384,18.64,,5.91,1.0
11,D,Acer saccharum,0.05,2017,Prunus serotina,H,25.31,,9.68,1.0
11,D,Prunus serotina,0.05,2017,Acer rubrum,1386,19.61,,5.79,1.0
6,D,Acer saccharum,0.09,2017,Prunus serotina,J,21.41,,12.25,1.0
6,D,Acer saccharum,0.09,2017,Acer rubrum,50,16.88,,12.23,1.0
11,B,Quercus rubra,0.055,2016,Quercus alba,1320,16.38,27.94,18.87,1.0
11,D,Prunus serotina,0.05,2016,Populus grandidentata,277,49.68,,8.8,1.0
6,E,Quercus alba,0.091,2017,Prunus serotina,G,13.96,32.36,21.03,0.0
6,D,Quercus rubra,0.09,2017,Quercus rubra,921,15.59,25.77,14.68,0.0
6,B,Quercus alba,0.092,2016,Acer rubrum,1326,13.6,22.45,23.87,0.0
11,B,Acer saccharum,0.055,2017,Prunus serotina,1027,21.43,,10.04,1.0
6,B,Acer saccharum,0.092,2016,Acer saccharum,1330,15.59,,12.29,1.0
6,D,Quercus rubra,0.09,2017,Quercus rubra,970,15.59,25.77,14.68,0.0
11,D,Acer saccharum,0.05,2016,Sterile,1330,6.16,,9.54,1.0
6,B,Quercus rubra,0.092,2016,Sterile,970,8.75,6.7,15.82,1.0
11,B,Prunus serotina,0.055,2017,Quercus alba,1715,24.37,,7.13,1.0
6,D,Acer saccharum,0.09,2017,Acer saccharum,961,17.85,,12.42,1.0
11,D,Prunus serotina,0.05,2017,Sterile,I,14.47,,7.98,1.0
6,B,Acer saccharum,0.092,2017,Quercus rubra,1688,14.46,,12.06,1.0
6,B,Quercus alba,0.092,2017,Acer saccharum,561,18.61,25.3,22.25,0.0
6,B,Quercus rubra,0.092,2016,Quercus rubra,1595,18.78,23.16,14.71,0.0
6,D,Prunus serotina,0.09,2016,Acer rubrum,1326,17.37,,13.67,1.0
6,D,Acer saccharum,0.09,2016,Quercus rubra,921,13.67,,12.14,1.0
6,D,Acer saccharum,0.09,2017,Populus grandidentata,277,14.78,,12.23,1.0
6,B,Quercus alba,0.092,2016,Prunus serotina,1027,14.4,32.1,20.75,0.0
6,D,Quercus rubra,0.09,2017,Acer saccharum,561,22.69,46.32,14.88,0.0
6,D,Prunus serotina,0.09,2017,Prunus serotina,J,22.77,,14.23,1.0
6,D,Acer saccharum,0.09,2017,Populus grandidentata,285,14.78,,12.23,1.0
6,D,Prunus serotina,0.09,2016,Acer rubrum,50,17.37,,13.67,1.0
6,B,Acer saccharum,0.092,2016,Quercus alba,1715,14.83,,12.7,1.0
6,B,Quercus rubra,0.092,2016,Populus grandidentata,394,18.33,26.65,18.7,1.0
6,D,Quercus rubra,0.09,2016,Sterile,1595,6.67,10.07,15.11,0.0
6,D,Quercus alba,0.09,2017,Sterile,1715,5.11,5.51,20.12,1.0
6,B,Quercus rubra,0.092,2017,Sterile,1688,8.75,6.7,15.82,0.0
6,D,Quercus rubra,0.09,2016,Prunus serotina,H,19.83,32.76,14.76,0.0
6,D,Quercus alba,0.09,2016,Acer saccharum,1757,19.81,28.92,22.31,1.0
6,D,Quercus alba,0.09,2017,Populus grandidentata,285,20.7,25.38,21.97,0.0
6,D,Quercus alba,0.09,2017,Prunus serotina,689,13.88,22.49,22.4,0.0
6,D,Prunus serotina,0.09,2016,Acer rubrum,1468,17.37,,13.67,1.0
6,D,Acer saccharum,0.09,2016,Populus grandidentata,1201,14.78,,12.23,1.0
12,C,Acer saccharum,0.047,2017,Prunus serotina,G,27.32,,9.74,1.0
6,D,Quercus alba,0.09,2017,Populus grandidentata,891,20.7,25.38,21.97,0.0
6,B,Quercus alba,0.092,2017,Populus grandidentata,277,20.55,26.24,22.3,0.0
6,B,Acer saccharum,0.092,2016,Acer saccharum,1757,15.59,,12.29,1.0
12,A,Acer saccharum,0.063,2017,Quercus rubra,921,12.23,,11.16,1.0
6,D,Quercus rubra,0.09,2017,Sterile,1454,6.67,10.07,15.11,1.0
7,A,Quercus alba,0.078,2017,Prunus serotina,H,19.14,33.72,21.65,0.0
7,A,Quercus rubra,0.078,2016,Prunus serotina,G,18.4,34.78,12.9,1.0
7,C,Quercus alba,0.082,2016,Quercus alba,1478,15.42,30.73,15.99,1.0
7,C,Quercus alba,0.082,2017,Acer saccharum,961,27.5,20.17,21.92,0.0
7,C,Quercus alba,0.082,2017,Acer saccharum,561,27.5,20.17,21.92,1.0
12,A,Quercus alba,0.063,2017,Prunus serotina,J,18.85,31.55,19.67,1.0
7,A,Quercus rubra,0.078,2017,Sterile,984,10.62,8.66,13.06,1.0
12,A,Prunus serotina,0.063,2017,Sterile,J,12.27,,8.42,1.0
7,C,Quercus rubra,0.082,2016,Populus grandidentata,285,19.2,29.08,18.29,0.0
7,C,Quercus alba,0.082,2017,Quercus rubra,984,23.53,37.65,20.67,0.0
12,B,Acer saccharum,0.06,2017,Acer rubrum,1468,17.77,,11.03,1.0
7,A,Quercus alba,0.078,2017,Populus grandidentata,285,17.49,23.82,22.08,0.0
12,E,Prunus serotina,0.035,2016,Populus grandidentata,1201,32.87,,8.67,1.0
7,C,Quercus rubra,0.082,2017,Sterile,1454,4.09,7.25,14.45,1.0
7,A,Quercus alba,0.078,2017,Sterile,1205,1.12,0.0,18.0,1.0
12,B,Acer saccharum,0.06,2017,Quercus rubra,1595,13.4,,10.99,1.0
7,A,Quercus rubra,0.078,2017,Acer saccharum,1757,21.44,47.91,14.61,1.0
7,A,Acer saccharum,0.078,2017,Sterile,1323,7.0,,12.34,1.0
7,C,Quercus rubra,0.082,2016,Quercus rubra,1688,14.95,30.19,14.58,1.0
7,C,Quercus rubra,0.082,2017,Prunus serotina,I,20.73,12.61,11.98,0.0
7,C,Quercus alba,0.082,2016,Populus grandidentata,118,16.39,15.84,21.76,0.0
12,B,Quercus alba,0.06,2017,Acer rubrum,1468,13.12,29.89,23.35,1.0
7,C,Quercus alba,0.082,2017,Quercus rubra,970,23.53,37.65,20.67,1.0
12,B,Acer saccharum,0.06,2017,Quercus rubra,1454,13.4,,10.99,1.0
12,B,Acer saccharum,0.06,2017,Quercus alba,1715,16.9,,11.67,1.0
7,A,Quercus alba,0.078,2016,Quercus rubra,921,24.39,43.76,20.12,0.0
12,D,Prunus serotina,0.032,2017,Sterile,H,10.98,,8.22,1.0
7,A,Acer saccharum,0.078,2017,Sterile,561,7.0,,12.34,1.0
7,A,Quercus alba,0.078,2017,Prunus serotina,J,19.14,33.72,21.65,0.0
12,B,Acer saccharum,0.06,2017,Sterile,1757,5.7,,9.03,1.0
7,C,Quercus alba,0.082,2017,Quercus alba,1715,15.42,30.73,15.99,1.0
7,C,Acer saccharum,0.082,2017,Sterile,1757,10.58,,12.57,1.0
7,C,Quercus alba,0.082,2017,Prunus serotina,G,15.9,21.17,20.93,1.0
13,C,Prunus serotina,0.087,2017,Sterile,689,8.73,,11.93,1.0
13,C,Prunus serotina,0.087,2016,Quercus alba,1320,28.46,,13.66,1.0
7,C,Quercus alba,0.082,2017,Acer rubrum,1468,16.76,20.22,23.24,1.0
7,A,Quercus rubra,0.078,2017,Sterile,1595,10.62,8.66,13.06,1.0
13,C,Acer saccharum,0.087,2016,Populus grandidentata,118,14.72,,12.21,1.0
7,C,Quercus alba,0.082,2017,Acer saccharum,1330,27.5,20.17,21.92,1.0
7,C,Quercus alba,0.082,2016,Quercus rubra,1454,23.53,37.65,20.67,1.0
13,E,Quercus rubra,0.077,2017,Quercus rubra,921,17.2,30.65,14.73,1.0
7,B,Quercus alba,0.079,2016,Quercus alba,415,15.24,30.87,16.01,0.0
7,B,Quercus alba,0.079,2016,Populus grandidentata,1201,16.5,20.41,21.76,1.0
7,D,Acer saccharum,0.08,2017,Populus grandidentata,1201,15.42,,12.19,1.0
13,B,Acer saccharum,0.093,2017,Acer rubrum,1468,15.25,,12.18,1.0
7,D,Quercus alba,0.08,2016,Sterile,1320,0.88,0.0,17.7,0.0
13,D,Acer saccharum,0.086,2017,Quercus alba,1205,11.81,,12.43,1.0
7,D,Quercus rubra,0.08,2017,Acer rubrum,1326,19.94,30.48,14.48,0.0
13,D,Acer saccharum,0.086,2016,Acer saccharum,561,18.1,,12.36,1.0
7,B,Acer saccharum,0.079,2017,Sterile,961,9.58,,12.45,1.0
7,B,Quercus rubra,0.079,2017,Prunus serotina,1027,18.09,31.83,12.98,0.0
7,B,Quercus rubra,0.079,2016,Prunus serotina,689,18.09,31.83,12.98,0.0
7,B,Quercus rubra,0.079,2016,Acer rubrum,1386,22.21,27.75,13.64,0.0
7,B,Quercus alba,0.079,2017,Populus grandidentata,277,16.5,20.41,21.76,0.0
7,B,Quercus rubra,0.079,2017,Prunus serotina,H,18.09,31.83,12.98,0.0
13,D,Acer saccharum,0.086,2016,Populus grandidentata,1201,15.37,,12.05,1.0
7,D,Quercus rubra,0.08,2016,Acer saccharum,1323,20.81,46.97,14.65,0.0
7,D,Quercus alba,0.08,2017,Acer rubrum,1384,15.95,20.2,23.36,0.0
7,B,Quercus rubra,0.079,2017,Quercus alba,1320,21.06,23.63,16.57,0.0
7,B,Quercus rubra,0.079,2017,Sterile,1688,6.64,9.1,13.1,1.0
7,D,Quercus alba,0.08,2016,Prunus serotina,689,17.08,18.25,20.73,0.0
7,B,Quercus alba,0.079,2017,Acer rubrum,1332,16.37,18.96,23.19,0.0
14,A,Acer saccharum,0.06,2017,Acer rubrum,1384,17.77,,11.03,1.0
7,D,Quercus alba,0.08,2017,Prunus serotina,1027,17.08,18.25,20.73,0.0
14,C,Acer saccharum,0.053,2017,Quercus rubra,984,14.35,,10.7,1.0
14,A,Acer saccharum,0.06,2017,Quercus rubra,921,13.4,,10.99,1.0
7,B,Quercus alba,0.079,2016,Sterile,1297,3.12,3.41,18.48,0.0
14,A,Acer saccharum,0.06,2016,Populus grandidentata,285,12.84,,11.12,1.0
14,A,Acer saccharum,0.06,2016,Acer rubrum,1332,17.77,,11.03,1.0
7,B,Quercus alba,0.079,2017,Sterile,415,3.12,3.41,18.48,1.0
7,D,Quercus alba,0.08,2017,Quercus rubra,1688,24.19,42.27,20.28,0.0
7,D,Quercus rubra,0.08,2017,Quercus rubra,984,18.22,6.04,11.7,1.0
14,B,Prunus serotina,0.074,2017,Acer rubrum,1386,21.81,,6.89,1.0
7,D,Acer saccharum,0.08,2017,Sterile,1330,11.42,,12.54,1.0
14,B,Acer saccharum,0.074,2017,Quercus rubra,1454,11.89,,11.01,1.0
8,A,Quercus rubra,0.061,2016,Populus grandidentata,118,16.43,25.79,18.17,0.0
8,A,Quercus rubra,0.061,2017,Prunus serotina,J,17.5,18.94,12.11,0.0
14,D,Acer saccharum,0.059,2017,Acer saccharum,1757,15.39,,10.68,1.0
8,A,Quercus alba,0.061,2017,Sterile,415,11.8,3.68,18.53,1.0
8,C,Quercus rubra,0.061,2017,Quercus rubra,921,17.52,17.59,11.19,0.0
14,D,Prunus serotina,0.059,2017,Quercus rubra,1454,26.42,,10.18,1.0
8,A,Quercus rubra,0.061,2016,Acer saccharum,961,29.94,33.73,15.07,1.0
8,A,Prunus serotina,0.061,2017,Acer rubrum,1468,23.28,,6.68,0.0
8,C,Quercus rubra,0.061,2017,Acer rubrum,1332,15.92,21.82,12.7,0.0
14,B,Prunus serotina,0.074,2017,Quercus rubra,1595,33.68,,11.45,1.0
14,D,Prunus serotina,0.059,2016,Quercus alba,1320,24.63,,7.29,1.0
8,A,Prunus serotina,0.061,2017,Sterile,I,13.52,,9.21,0.0
8,A,Quercus alba,0.061,2017,Prunus serotina,H,18.67,28.69,20.78,0.0
8,C,Prunus serotina,0.061,2017,Sterile,H,13.52,,9.21,1.0
8,C,Quercus alba,0.061,2017,Quercus rubra,970,17.91,27.15,15.8,0.0
15,A,Acer saccharum,0.087,2016,Acer saccharum,961,19.8,,12.53,1.0
8,C,Quercus alba,0.061,2017,Quercus alba,1297,23.88,43.9,22.34,0.0
8,C,Quercus alba,0.061,2017,Prunus serotina,1027,18.67,28.69,20.78,1.0
15,A,Quercus alba,0.087,2017,Prunus serotina,G,14.85,26.55,22.96,1.0
8,A,Quercus alba,0.061,2017,Sterile,1478,11.8,3.68,18.53,0.0
8,A,Acer saccharum,0.061,2016,Quercus alba,1320,14.32,,12.65,1.0
8,A,Quercus rubra,0.061,2017,Prunus serotina,I,17.5,18.94,12.11,0.0
15,A,Acer saccharum,0.087,2017,Prunus serotina,G,20.69,,12.3,1.0
8,C,Quercus alba,0.061,2016,Acer rubrum,1326,15.66,32.8,23.21,0.0
8,C,Quercus alba,0.061,2017,Prunus serotina,689,18.67,28.69,20.78,0.0
8,A,Quercus alba,0.061,2017,Quercus rubra,984,17.91,27.15,15.8,1.0
15,C,Prunus serotina,0.103,2017,Quercus rubra,1595,32.24,,13.74,1.0
15,A,Prunus serotina,0.087,2016,Populus grandidentata,285,38.92,,11.62,1.0
15,A,Prunus serotina,0.087,2016,Acer saccharum,1330,41.39,,13.54,1.0
8,A,Quercus rubra,0.061,2017,Quercus alba,1715,15.63,25.83,18.15,1.0
8,C,Acer saccharum,0.061,2016,Sterile,961,8.25,,11.85,1.0
8,C,Quercus rubra,0.061,2017,Sterile,1595,12.4,5.19,11.24,1.0
8,C,Quercus rubra,0.061,2016,Acer saccharum,1330,29.94,33.73,15.07,0.0
15,A,Acer saccharum,0.087,2017,Prunus serotina,I,20.69,,12.3,1.0
8,A,Quercus rubra,0.061,2016,Quercus alba,1320,15.63,25.83,18.15,0.0
15,E,Prunus serotina,0.086,2017,Quercus alba,1297,29.94,,13.39,1.0
15,D,Prunus serotina,0.086,2017,Acer rubrum,1384,17.26,,13.42,1.0
8,E,Quercus rubra,0.066,2017,Prunus serotina,H,22.75,13.96,11.29,1.0
15,D,Acer saccharum,0.086,2016,Populus grandidentata,394,15.37,,12.05,1.0
15,D,Prunus serotina,0.086,2017,Prunus serotina,J,22.89,,13.72,1.0
15,D,Quercus alba,0.086,2017,Quercus rubra,921,24.89,38.65,20.84,1.0
15,D,Prunus serotina,0.086,2016,Populus grandidentata,118,38.2,,11.2,1.0
